# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

0D7E;	0D33 0D4D;	missing_sequence	 # ( ൾ → ള് )	MALAYALAM LETTER CHILLU LL → MALAYALAM LETTER LLA + MALAYALAM SIGN VIRAMA
0D7F;	0D15 0D4D;	missing_sequence	 # ( ൿ → ക് )	MALAYALAM LETTER CHILLU K → MALAYALAM LETTER KA + MALAYALAM SIGN VIRAMA
214D;	0061 002F 0073;	missing_sequence	 # ( ⅍ → a/s )	AKTIESELSKAB → LATIN SMALL LETTER A + SOLIDUS + LATIN SMALL LETTER S
1F18B;	0069 0063;	missing_sequence	 # ( 🆋 → ic )	NEGATIVE SQUARED IC → LATIN SMALL LETTER I + LATIN SMALL LETTER C
1F18C;	0070 0061;	missing_sequence	 # ( 🆌 → pa )	NEGATIVE SQUARED PA → LATIN SMALL LETTER P + LATIN SMALL LETTER A
1F18D;	0073 0061;	missing_sequence	 # ( 🆍 → sa )	NEGATIVE SQUARED SA → LATIN SMALL LETTER S + LATIN SMALL LETTER A
1F18E;	0061 0062;	missing_sequence	 # ( 🆎 → ab )	NEGATIVE SQUARED AB → LATIN SMALL LETTER A + LATIN SMALL LETTER B
1F18F;	0077 0063;	missing_sequence	 # ( 🆏 → wc )	NEGATIVE SQUARED WC → LATIN SMALL LETTER W + LATIN SMALL LETTER C
1F191;	0063 006C;	missing_sequence	 # ( 🆑 → cl )	SQUARED CL → LATIN SMALL LETTER C + LATIN SMALL LETTER L
1F192;	0063 006F 006F 006C;	missing_sequence	 # ( 🆒 → cool )	SQUARED COOL → LATIN SMALL LETTER C + LATIN SMALL LETTER O + LATIN SMALL LETTER O + LATIN SMALL LETTER L
1F193;	0066 0072 0065 0065;	missing_sequence	 # ( 🆓 → free )	SQUARED FREE → LATIN SMALL LETTER F + LATIN SMALL LETTER R + LATIN SMALL LETTER E + LATIN SMALL LETTER E
1F194;	0069 0064;	missing_sequence	 # ( 🆔 → id )	SQUARED ID → LATIN SMALL LETTER I + LATIN SMALL LETTER D
1F195;	006E 0065 0077;	missing_sequence	 # ( 🆕 → new )	SQUARED NEW → LATIN SMALL LETTER N + LATIN SMALL LETTER E + LATIN SMALL LETTER W
1F196;	006E 0067;	missing_sequence	 # ( 🆖 → ng )	SQUARED NG → LATIN SMALL LETTER N + LATIN SMALL LETTER G
1F197;	006F 006B;	missing_sequence	 # ( 🆗 → ok )	SQUARED OK → LATIN SMALL LETTER O + LATIN SMALL LETTER K
1F198;	0073 006F 0073;	missing_sequence	 # ( 🆘 → sos )	SQUARED SOS → LATIN SMALL LETTER S + LATIN SMALL LETTER O + LATIN SMALL LETTER S
1F199;	0075 0070 0021;	missing_sequence	 # ( 🆙 → up! )	SQUARED UP WITH EXCLAMATION MARK → LATIN SMALL LETTER U + LATIN SMALL LETTER P + EXCLAMATION MARK
1F19A;	0076 0073;	missing_sequence	 # ( 🆚 → vs )	SQUARED VS → LATIN SMALL LETTER V + LATIN SMALL LETTER S
1F19B;	0033 0044;	missing_sequence	 # ( 🆛 → 3D )	SQUARED THREE D → DIGIT THREE + LATIN CAPITAL LETTER D
1F19C;	0032 006E 0064 0020 0053 0063 0072;	missing_sequence	 # ( 🆜 → 2nd Scr )	SQUARED SECOND SCREEN → DIGIT TWO + LATIN SMALL LETTER N + LATIN SMALL LETTER D + SPACE + LATIN CAPITAL LETTER S + LATIN SMALL LETTER C + LATIN SMALL LETTER R
1F19D;	0020 0032 004B;	missing_sequence	 # ( 🆝 →  2K )	SQUARED TWO K → SPACE + DIGIT TWO + LATIN CAPITAL LETTER K
1F19E;	0034 004B;	missing_sequence	 # ( 🆞 → 4K )	SQUARED FOUR K → DIGIT FOUR + LATIN CAPITAL LETTER K
1F19F;	0038 004B;	missing_sequence	 # ( 🆟 → 8K )	SQUARED EIGHT K → DIGIT EIGHT + LATIN CAPITAL LETTER K
1F1A0;	0020 0035 002E 0031 0020;	missing_sequence	 # ( 🆠 →  5.1  )	SQUARED FIVE POINT ONE → SPACE + DIGIT FIVE + FULL STOP + DIGIT ONE + SPACE
1F1A1;	0020 0037 002E 0031 0020;	missing_sequence	 # ( 🆡 →  7.1  )	SQUARED SEVEN POINT ONE → SPACE + DIGIT SEVEN + FULL STOP + DIGIT ONE + SPACE
1F1A2;	0020 0032 0032 002E 0032 0020;	missing_sequence	 # ( 🆢 →  22.2  )	SQUARED TWENTY-TWO POINT TWO → SPACE + DIGIT TWO + DIGIT TWO + FULL STOP + DIGIT TWO + SPACE
1F1A3;	0020 0036 0030 0050 0020;	missing_sequence	 # ( 🆣 →  60P  )	SQUARED SIXTY P → SPACE + DIGIT SIX + DIGIT ZERO + LATIN CAPITAL LETTER P + SPACE
1F1A4;	0020 0031 0032 0030 0050 0020;	missing_sequence	 # ( 🆤 →  120P  )	SQUARED ONE HUNDRED TWENTY P → SPACE + DIGIT ONE + DIGIT TWO + DIGIT ZERO + LATIN CAPITAL LETTER P + SPACE
1F1A5;	0064;	missing_sequence	 # ( 🆥 → d )	SQUARED LATIN SMALL LETTER D → LATIN SMALL LETTER D
1F1A6;	0020 0048 0043 0020;	missing_sequence	 # ( 🆦 →  HC  )	SQUARED HC → SPACE + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER C + SPACE
1F1A7;	0020 0048 0044 0052 0020;	missing_sequence	 # ( 🆧 →  HDR  )	SQUARED HDR → SPACE + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER D + LATIN CAPITAL LETTER R + SPACE
1F1A8;	0020 0048 0069 002D 0052 0065 0073 0020;	missing_sequence	 # ( 🆨 →  Hi-Res  )	SQUARED HI-RES → SPACE + LATIN CAPITAL LETTER H + LATIN SMALL LETTER I + HYPHEN-MINUS + LATIN CAPITAL LETTER R + LATIN SMALL LETTER E + LATIN SMALL LETTER S + SPACE
1F1A9;	0020 004C 006F 0073 0073 006C 0065 0073 0073 0020;	missing_sequence	 # ( 🆩 →  Lossless  )	SQUARED LOSSLESS → SPACE + LATIN CAPITAL LETTER L + LATIN SMALL LETTER O + LATIN SMALL LETTER S + LATIN SMALL LETTER S + LATIN SMALL LETTER L + LATIN SMALL LETTER E + LATIN SMALL LETTER S + LATIN SMALL LETTER S + SPACE
1F1AA;	0020 0053 0048 0056 0020;	missing_sequence	 # ( 🆪 →  SHV  )	SQUARED SHV → SPACE + LATIN CAPITAL LETTER S + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER V + SPACE
1F1AB;	0020 0055 0048 0044 0020;	missing_sequence	 # ( 🆫 →  UHD  )	SQUARED UHD → SPACE + LATIN CAPITAL LETTER U + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER D + SPACE
1F1AC;	0020 0056 004F 0044 0020;	missing_sequence	 # ( 🆬 →  VOD  )	SQUARED VOD → SPACE + LATIN CAPITAL LETTER V + LATIN CAPITAL LETTER O + LATIN CAPITAL LETTER D + SPACE
1F520;	0061 0062 0063 0064;	missing_sequence	 # ( 🔠 → abcd )	INPUT SYMBOL FOR LATIN CAPITAL LETTERS → LATIN SMALL LETTER A + LATIN SMALL LETTER B + LATIN SMALL LETTER C + LATIN SMALL LETTER D
1F521;	0061 0062 0063 0064;	missing_sequence	 # ( 🔡 → abcd )	INPUT SYMBOL FOR LATIN SMALL LETTERS → LATIN SMALL LETTER A + LATIN SMALL LETTER B + LATIN SMALL LETTER C + LATIN SMALL LETTER D
1F522;	0031 0032 0033 0034;	missing_sequence	 # ( 🔢 → 1234 )	INPUT SYMBOL FOR NUMBERS → DIGIT ONE + DIGIT TWO + DIGIT THREE + DIGIT FOUR
1F523;	3012 266A 0026 0025;	missing_sequence	 # ( 🔣 → 〒♪&% )	INPUT SYMBOL FOR SYMBOLS → POSTAL MARK + EIGHTH NOTE + AMPERSAND + PERCENT SIGN
1F524;	0061 0062 0063;	missing_sequence	 # ( 🔤 → abc )	INPUT SYMBOL FOR LATIN LETTERS → LATIN SMALL LETTER A + LATIN SMALL LETTER B + LATIN SMALL LETTER C

#@override reason=missing_enclosed

24EB;	0031 0031;	missing_enclosed	 # ( ⓫ → 11 )	NEGATIVE CIRCLED NUMBER ELEVEN → DIGIT ONE + DIGIT ONE
24EC;	0031 0032;	missing_enclosed	 # ( ⓬ → 12 )	NEGATIVE CIRCLED NUMBER TWELVE → DIGIT ONE + DIGIT TWO
24ED;	0031 0033;	missing_enclosed	 # ( ⓭ → 13 )	NEGATIVE CIRCLED NUMBER THIRTEEN → DIGIT ONE + DIGIT THREE
24EE;	0031 0034;	missing_enclosed	 # ( ⓮ → 14 )	NEGATIVE CIRCLED NUMBER FOURTEEN → DIGIT ONE + DIGIT FOUR
24EF;	0031 0035;	missing_enclosed	 # ( ⓯ → 15 )	NEGATIVE CIRCLED NUMBER FIFTEEN → DIGIT ONE + DIGIT FIVE
24F0;	0031 0036;	missing_enclosed	 # ( ⓰ → 16 )	NEGATIVE CIRCLED NUMBER SIXTEEN → DIGIT ONE + DIGIT SIX
24F1;	0031 0037;	missing_enclosed	 # ( ⓱ → 17 )	NEGATIVE CIRCLED NUMBER SEVENTEEN → DIGIT ONE + DIGIT SEVEN
24F2;	0031 0038;	missing_enclosed	 # ( ⓲ → 18 )	NEGATIVE CIRCLED NUMBER EIGHTEEN → DIGIT ONE + DIGIT EIGHT
24F3;	0031 0039;	missing_enclosed	 # ( ⓳ → 19 )	NEGATIVE CIRCLED NUMBER NINETEEN → DIGIT ONE + DIGIT NINE
24F4;	0032 0030;	missing_enclosed	 # ( ⓴ → 20 )	NEGATIVE CIRCLED NUMBER TWENTY → DIGIT TWO + DIGIT ZERO
24F5;	0031;	missing_enclosed	 # ( ⓵ → 1 )	DOUBLE CIRCLED DIGIT ONE → DIGIT ONE
24F6;	0032;	missing_enclosed	 # ( ⓶ → 2 )	DOUBLE CIRCLED DIGIT TWO → DIGIT TWO
24F7;	0033;	missing_enclosed	 # ( ⓷ → 3 )	DOUBLE CIRCLED DIGIT THREE → DIGIT THREE
24F8;	0034;	missing_enclosed	 # ( ⓸ → 4 )	DOUBLE CIRCLED DIGIT FOUR → DIGIT FOUR
24F9;	0035;	missing_enclosed	 # ( ⓹ → 5 )	DOUBLE CIRCLED DIGIT FIVE → DIGIT FIVE
24FA;	0036;	missing_enclosed	 # ( ⓺ → 6 )	DOUBLE CIRCLED DIGIT SIX → DIGIT SIX
24FB;	0037;	missing_enclosed	 # ( ⓻ → 7 )	DOUBLE CIRCLED DIGIT SEVEN → DIGIT SEVEN
24FC;	0038;	missing_enclosed	 # ( ⓼ → 8 )	DOUBLE CIRCLED DIGIT EIGHT → DIGIT EIGHT
24FD;	0039;	missing_enclosed	 # ( ⓽ → 9 )	DOUBLE CIRCLED DIGIT NINE → DIGIT NINE
24FE;	0031 0030;	missing_enclosed	 # ( ⓾ → 10 )	DOUBLE CIRCLED NUMBER TEN → DIGIT ONE + DIGIT ZERO
24FF;	0030;	missing_enclosed	 # ( ⓿ → 0 )	NEGATIVE CIRCLED DIGIT ZERO → DIGIT ZERO
2776;	0031;	missing_enclosed	 # ( ❶ → 1 )	DINGBAT NEGATIVE CIRCLED DIGIT ONE → DIGIT ONE
2777;	0032;	missing_enclosed	 # ( ❷ → 2 )	DINGBAT NEGATIVE CIRCLED DIGIT TWO → DIGIT TWO
2778;	0033;	missing_enclosed	 # ( ❸ → 3 )	DINGBAT NEGATIVE CIRCLED DIGIT THREE → DIGIT THREE
2779;	0034;	missing_enclosed	 # ( ❹ → 4 )	DINGBAT NEGATIVE CIRCLED DIGIT FOUR → DIGIT FOUR
277A;	0035;	missing_enclosed	 # ( ❺ → 5 )	DINGBAT NEGATIVE CIRCLED DIGIT FIVE → DIGIT FIVE
277B;	0036;	missing_enclosed	 # ( ❻ → 6 )	DINGBAT NEGATIVE CIRCLED DIGIT SIX → DIGIT SIX
277C;	0037;	missing_enclosed	 # ( ❼ → 7 )	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN → DIGIT SEVEN
277D;	0038;	missing_enclosed	 # ( ❽ → 8 )	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT → DIGIT EIGHT
277E;	0039;	missing_enclosed	 # ( ❾ → 9 )	DINGBAT NEGATIVE CIRCLED DIGIT NINE → DIGIT NINE
277F;	0031 0030;	missing_enclosed	 # ( ❿ → 10 )	DINGBAT NEGATIVE CIRCLED NUMBER TEN → DIGIT ONE + DIGIT ZERO
2780;	0031;	missing_enclosed	 # ( ➀ → 1 )	DINGBAT CIRCLED SANS-SERIF DIGIT ONE → DIGIT ONE
2781;	0032;	missing_enclosed	 # ( ➁ → 2 )	DINGBAT CIRCLED SANS-SERIF DIGIT TWO → DIGIT TWO
2782;	0033;	missing_enclosed	 # ( ➂ → 3 )	DINGBAT CIRCLED SANS-SERIF DIGIT THREE → DIGIT THREE
2783;	0034;	missing_enclosed	 # ( ➃ → 4 )	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR → DIGIT FOUR
2784;	0035;	missing_enclosed	 # ( ➄ → 5 )	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE → DIGIT FIVE
2785;	0036;	missing_enclosed	 # ( ➅ → 6 )	DINGBAT CIRCLED SANS-SERIF DIGIT SIX → DIGIT SIX
2786;	0037;	missing_enclosed	 # ( ➆ → 7 )	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN → DIGIT SEVEN
2787;	0038;	missing_enclosed	 # ( ➇ → 8 )	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT → DIGIT EIGHT
2788;	0039;	missing_enclosed	 # ( ➈ → 9 )	DINGBAT CIRCLED SANS-SERIF DIGIT NINE → DIGIT NINE
2789;	0031 0030;	missing_enclosed	 # ( ➉ → 10 )	DINGBAT CIRCLED SANS-SERIF NUMBER TEN → DIGIT ONE + DIGIT ZERO
278A;	0031;	missing_enclosed	 # ( ➊ → 1 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE → DIGIT ONE
278B;	0032;	missing_enclosed	 # ( ➋ → 2 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO → DIGIT TWO
278C;	0033;	missing_enclosed	 # ( ➌ → 3 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE → DIGIT THREE
278D;	0034;	missing_enclosed	 # ( ➍ → 4 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR → DIGIT FOUR
278E;	0035;	missing_enclosed	 # ( ➎ → 5 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE → DIGIT FIVE
278F;	0036;	missing_enclosed	 # ( ➏ → 6 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX → DIGIT SIX
2790;	0037;	missing_enclosed	 # ( ➐ → 7 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN → DIGIT SEVEN
2791;	0038;	missing_enclosed	 # ( ➑ → 8 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT → DIGIT EIGHT
2792;	0039;	missing_enclosed	 # ( ➒ → 9 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE → DIGIT NINE
2793;	0031 0030;	missing_enclosed	 # ( ➓ → 10 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN → DIGIT ONE + DIGIT ZERO
3248;	0031 0030;	missing_enclosed	 # ( ㉈ → 10 )	CIRCLED NUMBER TEN ON BLACK SQUARE → DIGIT ONE + DIGIT ZERO
3249;	0032 0030;	missing_enclosed	 # ( ㉉ → 20 )	CIRCLED NUMBER TWENTY ON BLACK SQUARE → DIGIT TWO + DIGIT ZERO
324A;	0033 0030;	missing_enclosed	 # ( ㉊ → 30 )	CIRCLED NUMBER THIRTY ON BLACK SQUARE → DIGIT THREE + DIGIT ZERO
324B;	0034 0030;	missing_enclosed	 # ( ㉋ → 40 )	CIRCLED NUMBER FORTY ON BLACK SQUARE → DIGIT FOUR + DIGIT ZERO
324C;	0035 0030;	missing_enclosed	 # ( ㉌ → 50 )	CIRCLED NUMBER FIFTY ON BLACK SQUARE → DIGIT FIVE + DIGIT ZERO
324D;	0036 0030;	missing_enclosed	 # ( ㉍ → 60 )	CIRCLED NUMBER SIXTY ON BLACK SQUARE → DIGIT SIX + DIGIT ZERO
324E;	0037 0030;	missing_enclosed	 # ( ㉎ → 70 )	CIRCLED NUMBER SEVENTY ON BLACK SQUARE → DIGIT SEVEN + DIGIT ZERO
324F;	0038 0030;	missing_enclosed	 # ( ㉏ → 80 )	CIRCLED NUMBER EIGHTY ON BLACK SQUARE → DIGIT EIGHT + DIGIT ZERO
1F10B;	0030;	missing_enclosed	 # ( 🄋 → 0 )	DINGBAT CIRCLED SANS-SERIF DIGIT ZERO → DIGIT ZERO
1F10C;	0030;	missing_enclosed	 # ( 🄌 → 0 )	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ZERO → DIGIT ZERO
1F150;	0061;	missing_enclosed	 # ( 🅐 → a )	NEGATIVE CIRCLED LATIN CAPITAL LETTER A → LATIN SMALL LETTER A
1F151;	0062;	missing_enclosed	 # ( 🅑 → b )	NEGATIVE CIRCLED LATIN CAPITAL LETTER B → LATIN SMALL LETTER B
1F152;	0063;	missing_enclosed	 # ( 🅒 → c )	NEGATIVE CIRCLED LATIN CAPITAL LETTER C → LATIN SMALL LETTER C
1F153;	0064;	missing_enclosed	 # ( 🅓 → d )	NEGATIVE CIRCLED LATIN CAPITAL LETTER D → LATIN SMALL LETTER D
1F154;	0065;	missing_enclosed	 # ( 🅔 → e )	NEGATIVE CIRCLED LATIN CAPITAL LETTER E → LATIN SMALL LETTER E
1F155;	0066;	missing_enclosed	 # ( 🅕 → f )	NEGATIVE CIRCLED LATIN CAPITAL LETTER F → LATIN SMALL LETTER F
1F156;	0067;	missing_enclosed	 # ( 🅖 → g )	NEGATIVE CIRCLED LATIN CAPITAL LETTER G → LATIN SMALL LETTER G
1F157;	0068;	missing_enclosed	 # ( 🅗 → h )	NEGATIVE CIRCLED LATIN CAPITAL LETTER H → LATIN SMALL LETTER H
1F158;	0069;	missing_enclosed	 # ( 🅘 → i )	NEGATIVE CIRCLED LATIN CAPITAL LETTER I → LATIN SMALL LETTER I
1F159;	006A;	missing_enclosed	 # ( 🅙 → j )	NEGATIVE CIRCLED LATIN CAPITAL LETTER J → LATIN SMALL LETTER J
1F15A;	006B;	missing_enclosed	 # ( 🅚 → k )	NEGATIVE CIRCLED LATIN CAPITAL LETTER K → LATIN SMALL LETTER K
1F15B;	006C;	missing_enclosed	 # ( 🅛 → l )	NEGATIVE CIRCLED LATIN CAPITAL LETTER L → LATIN SMALL LETTER L
1F15C;	006D;	missing_enclosed	 # ( 🅜 → m )	NEGATIVE CIRCLED LATIN CAPITAL LETTER M → LATIN SMALL LETTER M
1F15D;	006E;	missing_enclosed	 # ( 🅝 → n )	NEGATIVE CIRCLED LATIN CAPITAL LETTER N → LATIN SMALL LETTER N
1F15E;	006F;	missing_enclosed	 # ( 🅞 → o )	NEGATIVE CIRCLED LATIN CAPITAL LETTER O → LATIN SMALL LETTER O
1F15F;	0070;	missing_enclosed	 # ( 🅟 → p )	NEGATIVE CIRCLED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P
1F160;	0071;	missing_enclosed	 # ( 🅠 → q )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Q → LATIN SMALL LETTER Q
1F161;	0072;	missing_enclosed	 # ( 🅡 → r )	NEGATIVE CIRCLED LATIN CAPITAL LETTER R → LATIN SMALL LETTER R
1F162;	0073;	missing_enclosed	 # ( 🅢 → s )	NEGATIVE CIRCLED LATIN CAPITAL LETTER S → LATIN SMALL LETTER S
1F163;	0074;	missing_enclosed	 # ( 🅣 → t )	NEGATIVE CIRCLED LATIN CAPITAL LETTER T → LATIN SMALL LETTER T
1F164;	0075;	missing_enclosed	 # ( 🅤 → u )	NEGATIVE CIRCLED LATIN CAPITAL LETTER U → LATIN SMALL LETTER U
1F165;	0076;	missing_enclosed	 # ( 🅥 → v )	NEGATIVE CIRCLED LATIN CAPITAL LETTER V → LATIN SMALL LETTER V
1F166;	0077;	missing_enclosed	 # ( 🅦 → w )	NEGATIVE CIRCLED LATIN CAPITAL LETTER W → LATIN SMALL LETTER W
1F167;	0078;	missing_enclosed	 # ( 🅧 → x )	NEGATIVE CIRCLED LATIN CAPITAL LETTER X → LATIN SMALL LETTER X
1F168;	0079;	missing_enclosed	 # ( 🅨 → y )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Y → LATIN SMALL LETTER Y
1F169;	007A;	missing_enclosed	 # ( 🅩 → z )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Z → LATIN SMALL LETTER Z
1F170;	0061;	missing_enclosed	 # ( 🅰 → a )	NEGATIVE SQUARED LATIN CAPITAL LETTER A → LATIN SMALL LETTER A
1F171;	0062;	missing_enclosed	 # ( 🅱 → b )	NEGATIVE SQUARED LATIN CAPITAL LETTER B → LATIN SMALL LETTER B
1F172;	0063;	missing_enclosed	 # ( 🅲 → c )	NEGATIVE SQUARED LATIN CAPITAL LETTER C → LATIN SMALL LETTER C
1F173;	0064;	missing_enclosed	 # ( 🅳 → d )	NEGATIVE SQUARED LATIN CAPITAL LETTER D → LATIN SMALL LETTER D
1F174;	0065;	missing_enclosed	 # ( 🅴 → e )	NEGATIVE SQUARED LATIN CAPITAL LETTER E → LATIN SMALL LETTER E
1F175;	0066;	missing_enclosed	 # ( 🅵 → f )	NEGATIVE SQUARED LATIN CAPITAL LETTER F → LATIN SMALL LETTER F
1F176;	0067;	missing_enclosed	 # ( 🅶 → g )	NEGATIVE SQUARED LATIN CAPITAL LETTER G → LATIN SMALL LETTER G
1F177;	0068;	missing_enclosed	 # ( 🅷 → h )	NEGATIVE SQUARED LATIN CAPITAL LETTER H → LATIN SMALL LETTER H
1F178;	0069;	missing_enclosed	 # ( 🅸 → i )	NEGATIVE SQUARED LATIN CAPITAL LETTER I → LATIN SMALL LETTER I
1F179;	006A;	missing_enclosed	 # ( 🅹 → j )	NEGATIVE SQUARED LATIN CAPITAL LETTER J → LATIN SMALL LETTER J
1F17A;	006B;	missing_enclosed	 # ( 🅺 → k )	NEGATIVE SQUARED LATIN CAPITAL LETTER K → LATIN SMALL LETTER K
1F17B;	006C;	missing_enclosed	 # ( 🅻 → l )	NEGATIVE SQUARED LATIN CAPITAL LETTER L → LATIN SMALL LETTER L
1F17C;	006D;	missing_enclosed	 # ( 🅼 → m )	NEGATIVE SQUARED LATIN CAPITAL LETTER M → LATIN SMALL LETTER M
1F17D;	006E;	missing_enclosed	 # ( 🅽 → n )	NEGATIVE SQUARED LATIN CAPITAL LETTER N → LATIN SMALL LETTER N
1F17E;	006F;	missing_enclosed	 # ( 🅾 → o )	NEGATIVE SQUARED LATIN CAPITAL LETTER O → LATIN SMALL LETTER O
1F17F;	0070;	missing_enclosed	 # ( 🅿 → p )	NEGATIVE SQUARED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P
1F180;	0071;	missing_enclosed	 # ( 🆀 → q )	NEGATIVE SQUARED LATIN CAPITAL LETTER Q → LATIN SMALL LETTER Q
1F181;	0072;	missing_enclosed	 # ( 🆁 → r )	NEGATIVE SQUARED LATIN CAPITAL LETTER R → LATIN SMALL LETTER R
1F182;	0073;	missing_enclosed	 # ( 🆂 → s )	NEGATIVE SQUARED LATIN CAPITAL LETTER S → LATIN SMALL LETTER S
1F183;	0074;	missing_enclosed	 # ( 🆃 → t )	NEGATIVE SQUARED LATIN CAPITAL LETTER T → LATIN SMALL LETTER T
1F184;	0075;	missing_enclosed	 # ( 🆄 → u )	NEGATIVE SQUARED LATIN CAPITAL LETTER U → LATIN SMALL LETTER U
1F185;	0076;	missing_enclosed	 # ( 🆅 → v )	NEGATIVE SQUARED LATIN CAPITAL LETTER V → LATIN SMALL LETTER V
1F186;	0077;	missing_enclosed	 # ( 🆆 → w )	NEGATIVE SQUARED LATIN CAPITAL LETTER W → LATIN SMALL LETTER W
1F187;	0078;	missing_enclosed	 # ( 🆇 → x )	NEGATIVE SQUARED LATIN CAPITAL LETTER X → LATIN SMALL LETTER X
1F188;	0079;	missing_enclosed	 # ( 🆈 → y )	NEGATIVE SQUARED LATIN CAPITAL LETTER Y → LATIN SMALL LETTER Y
1F189;	007A;	missing_enclosed	 # ( 🆉 → z )	NEGATIVE SQUARED LATIN CAPITAL LETTER Z → LATIN SMALL LETTER Z
1F18A;	0070;	missing_enclosed	 # ( 🆊 → p )	CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P

#@override reason=missing_case

1E9E;	00DF;	missing_case	 # ( ẞ → ß )	LATIN CAPITAL LETTER SHARP S → LATIN SMALL LETTER SHARP S

#@override reason=retain_cf

034F;	034F;	retain_cf	 # ( ͏ → ͏ )	COMBINING GRAPHEME JOINER → COMBINING GRAPHEME JOINER
180E;	180E;	retain_cf	 # ( ᠎ → ᠎ )	MONGOLIAN VOWEL SEPARATOR → MONGOLIAN VOWEL SEPARATOR
200B;	200B;	retain_cf	 # ( ​ → ​ )	ZERO WIDTH SPACE → ZERO WIDTH SPACE
2061;	2061;	retain_cf	 # ( ⁡ → ⁡ )	FUNCTION APPLICATION → FUNCTION APPLICATION
2062;	2062;	retain_cf	 # ( ⁢ → ⁢ )	INVISIBLE TIMES → INVISIBLE TIMES
